Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - frmIngresoUsuarios.aspx,156,11943,4333,47129,54422,57736,26,59191,0.000%,.52236,1.62,0.23
02 - frmGeneral.aspx/ObtenerMensajes,156,6115,3307,13284,15412,52280,15,56708,0.000%,.51679,13.37,0.28
03 - frmIngresoUsuarios.aspx/ValidarUsuario,156,6027,3683,10235,14412,52891,213,61222,0.000%,.51874,0.23,0.30
04 - frmIngresoUsuarios.aspx/ValidarContrasena,156,16413,9100,22294,86495,114703,961,119060,0.000%,.52659,0.24,0.33
05 - frmIngresoUsuarios.aspx,156,6404,1828,9431,12561,104478,45,119686,0.000%,.52890,1.36,0.33
06 - frmSeleccionNegocioCorresponsal.aspx,156,8269,2458,10306,14513,128367,44,136143,71.154%,.52295,0.20,0.34
07 - frmInicio.aspx,156,5411,1356,6946,10467,96227,72,132368,0.641%,.52337,3.19,0.33
09 - frmGeneral.aspx/ObtenerMensajes,156,1718,298,5990,8458,14035,24,17212,0.000%,.52467,13.58,0.28
10 - frmGeneral.aspx/ObtenerMenu,156,5175,1377,5265,7436,107987,51,114753,0.000%,.52376,8.93,0.32
11 - frmGeneral.aspx/ObtenerMenuPagoServicios,156,2719,1229,5770,7982,11166,63,93968,0.000%,.52533,7.48,0.33
12 - frmGeneral.aspx/RedireccionaMenu,156,5385,917,6770,12541,90204,29,115722,82.051%,.53665,0.16,0.35
13 - frmInicio.aspx,156,2581,990,5217,8087,12150,56,118158,0.000%,.54092,1.95,0.33
14 - frmPagoRecargas.aspx,156,6400,1050,8219,11584,131589,61,132165,85.897%,.54635,1.61,0.35
15 - frmGeneral.aspx/ObtenerMensajes,156,1611,129,3401,7077,12827,27,60742,0.000%,.56064,14.51,0.31
16 - frmGeneral.aspx/ObtenerMenu,156,3586,495,4406,7745,82029,57,120098,0.000%,.56037,5.03,0.35
17 - frmPagoRecargas.aspx/ObtenerFacturasPendientes,156,1943,304,3414,7270,8923,58,121561,0.000%,.56961,0.27,0.45
18 - frmGeneral.aspx/CerrarSesion,156,2509,93,2807,6873,75771,13,116924,91.026%,.57700,0.16,0.36
19 - frmIngresoUsuarios.aspx,156,1082,89,1174,3256,11779,23,36955,0.000%,.58358,4.45,0.32
20 - frmGeneral.aspx/ObtenerMensajes,156,1063,59,1642,2996,11509,20,41435,0.000%,.57987,15.01,0.31
TOTAL,2964,5071,1012,9246,14513,101820,13,136143,17.409%,8.15482,73.83,4.91
