Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1 - Login,125,425,413,468,495,908,326,1349,0.00%,.0,.2
2 - Iniciando sesion,125,10400,10523,10699,10728,10760,780,10765,0.00%,.0,.2
3 - Ir a pagina solicitudes,124,2994,2985,3211,3248,4161,2422,5103,0.00%,.0,1.4
4 - Seleccionar Reporte pasivo,31,984,941,1212,1229,1444,784,1444,0.00%,.0,.3
5 - Generar reporte pasivos,31,619,574,754,849,1137,489,1137,0.00%,.0,.3
6 - Cerrar sesion,62,297,277,375,383,456,207,793,0.00%,.0,.1
4 - Seleccionar Reporte Backtesting,31,632,599,767,810,1011,465,1011,0.00%,.0,.4
5 - Cargar archivo popup,31,441,426,537,543,601,327,601,0.00%,.0,.4
6 - Cargar archivo,31,11644,11639,11834,11853,11920,11325,11920,0.00%,.0,.4
7- Cerrar sesion,31,263,254,309,328,531,209,531,0.00%,.0,.1
1-Login,95,417,405,476,541,602,294,611,0.00%,.0,.1
2- Iniciando sesion,95,10511,10519,10691,10728,10808,10190,10858,0.00%,.0,.1
3- Ir a pagina ordenes,32,1387,1350,1513,1548,1723,1223,1723,0.00%,.0,.1
4- Cerrar sesion,95,3811,666,10733,10772,10798,241,10856,0.00%,.0,.1
3- Ir a pagina reportes,31,1337,1350,1438,1495,1530,1095,1530,0.00%,.0,.1
4 - Seleccionar Reporte efectivo,31,4122,4117,4259,4307,4498,3908,4498,0.00%,.0,.4
5- Cerrar sesion,31,250,246,289,298,320,160,320,0.00%,.0,.1
4 - Seleccionar Reporte Activo y pasivo,31,1104,1098,1307,1375,1414,827,1414,0.00%,.0,.4
5 - Generar ,31,604,578,709,713,1083,496,1083,0.00%,.0,.4
3- Ir a pagina plantillas,32,1386,1338,1538,1541,2503,1168,2503,0.00%,.0,.1
TOTAL,1126,3476,1027,10620,10727,11727,160,11920,0.00%,.1,5.3
